id,label
image_0115,street
image_0132,kitchen
image_0661,office
image_0378,tallbuilding
image_0917,livingroom
image_0809,kitchen
image_1028,insidecity
image_0909,livingroom
image_0879,opencountry
image_0562,insidecity
image_0837,forest
image_0309,suburb
image_0902,suburb
image_0911,opencountry
image_0495,opencountry
image_0592,forest
image_0687,livingroom
image_0964,bedroom
image_0049,tallbuilding
image_0432,coast
image_0839,opencountry
image_0250,suburb
image_0951,mountain
image_0183,livingroom
image_0575,bedroom
image_0418,livingroom
image_0605,street
image_0932,opencountry
image_0069,bedroom
image_0949,forest
image_0233,office
image_0999,mountain
image_0301,opencountry
image_0579,tallbuilding
image_0195,insidecity
image_0186,kitchen
image_0739,forest
image_0368,bedroom
image_0238,livingroom
image_0280,forest
image_0460,forest
image_0332,office
image_0865,bedroom
image_0395,coast
image_0512,opencountry
image_0487,forest
image_0201,opencountry
image_0538,suburb
image_0674,opencountry
image_0585,insidecity
image_0505,kitchen
image_0617,forest
image_0118,street
image_0015,coast
image_0178,street
image_0973,office
image_0648,livingroom
image_0072,bedroom
image_0150,opencountry
image_0941,bedroom
image_0789,livingroom
image_0446,suburb
image_0677,insidecity
image_0184,forest
image_0901,highway
image_0006,coast
image_0992,coast
image_0827,forest
image_0774,kitchen
image_0476,street
image_0540,street
image_1007,highway
image_0102,tallbuilding
image_0276,livingroom
image_0336,opencountry
image_0663,livingroom
image_0647,insidecity
image_0929,opencountry
image_0220,suburb
image_0140,bedroom
image_0229,suburb
image_0815,insidecity
image_0843,street
image_0818,tallbuilding
image_0226,opencountry
image_0359,tallbuilding
image_0375,street
image_1021,coast
image_0893,insidecity
image_0161,livingroom
image_0546,opencountry
image_0522,street
image_0123,coast
image_0325,tallbuilding
image_0061,bedroom
image_0694,office
image_0480,suburb
image_0163,mountain
image_0625,insidecity
image_0775,street
image_0458,office
image_0816,insidecity
image_0846,tallbuilding
image_0438,street
image_0635,office
image_0237,forest
image_0691,kitchen
image_0018,kitchen
image_0410,highway
image_0887,mountain
image_0664,forest
image_1022,office
image_0668,tallbuilding
image_0706,opencountry
image_0894,insidecity
image_0626,kitchen
image_0526,opencountry
image_0370,kitchen
image_0239,coast
image_0907,coast
image_0040,suburb
image_0407,insidecity
image_0440,opencountry
image_0533,mountain
image_0906,suburb
image_0690,forest
image_0462,suburb
image_0918,tallbuilding
image_0940,insidecity
image_0539,highway
image_1037,coast
image_0997,office
image_0782,street
image_0525,highway
image_0833,insidecity
image_0612,coast
image_0071,highway
image_0470,coast
image_0003,bedroom
image_0144,mountain
image_0766,highway
image_0550,street
image_0355,tallbuilding
image_0174,street
image_0094,opencountry
image_0278,street
image_0471,coast
image_0068,kitchen
image_0572,tallbuilding
image_0467,kitchen
image_0227,bedroom
image_0464,office
image_0983,office
image_0050,kitchen
image_0727,livingroom
image_0882,kitchen
image_0811,office
image_0966,office
image_0765,insidecity
image_0866,suburb
image_1029,forest
image_0466,kitchen
image_0552,mountain
image_0544,tallbuilding
image_0672,insidecity
image_0286,office
image_0017,livingroom
image_0206,opencountry
image_0400,suburb
image_0849,insidecity
image_0056,tallbuilding
image_0170,mountain
image_0632,opencountry
image_0695,coast
image_0246,coast
image_0058,street
image_0397,bedroom
image_0580,forest
image_0799,bedroom
image_0868,office
image_1034,suburb
image_0026,forest
image_0959,mountain
image_0528,kitchen
image_1009,tallbuilding
image_0078,opencountry
image_0394,highway
image_0952,office
image_0390,mountain
image_0205,kitchen
image_0419,tallbuilding
image_0134,insidecity
image_0976,suburb
image_0146,office
image_0101,coast
image_0547,tallbuilding
image_0670,livingroom
image_0817,mountain
image_0620,street
