id,label
image_0547,tallbuilding
image_0334,office
image_0427,insidecity
image_0705,opencountry
image_0115,street
image_0275,insidecity
image_0653,bedroom
image_0451,tallbuilding
image_0443,street
image_0447,tallbuilding
image_0291,bedroom
image_0878,forest
image_0888,forest
image_0468,street
image_0718,coast
image_0902,suburb
image_0661,livingroom
image_0932,opencountry
image_0518,suburb
image_0296,tallbuilding
image_0763,suburb
image_0356,mountain
image_0823,tallbuilding
image_0208,suburb
image_0681,coast
image_0128,suburb
image_0896,forest
image_0255,highway
image_0638,highway
image_0626,kitchen
image_0977,highway
image_0604,suburb
image_0332,livingroom
image_0181,street
image_0839,opencountry
image_0116,livingroom
image_0043,livingroom
image_0183,livingroom
image_0516,office
image_0995,livingroom
image_0197,kitchen
image_0325,tallbuilding
image_0667,coast
image_0868,office
image_0965,mountain
image_0003,bedroom
image_0060,forest
image_0105,mountain
image_0319,highway
image_0641,office
image_0270,kitchen
image_0407,insidecity
image_0938,mountain
image_0066,opencountry
image_0767,street
image_0075,coast
image_0853,highway
image_0950,office
image_0349,kitchen
image_0258,livingroom
image_0900,bedroom
image_0209,coast
image_0824,livingroom
image_0219,coast
image_0440,opencountry
image_0628,livingroom
image_0702,highway
image_0461,coast
image_0002,suburb
image_0025,highway
image_0187,livingroom
image_0595,bedroom
image_0997,livingroom
image_0564,livingroom
image_0323,livingroom
image_0093,suburb
image_0677,insidecity
image_0979,opencountry
image_0911,opencountry
image_0893,insidecity
image_0176,office
image_0910,office
image_0041,bedroom
image_0815,insidecity
image_0033,highway
image_0838,insidecity
image_0054,suburb
image_1023,livingroom
image_0931,insidecity
image_0452,highway
image_0089,street
image_0769,office
image_0000,highway
image_0218,office
image_0099,bedroom
image_0822,mountain
image_0159,kitchen
image_0588,insidecity
image_0383,bedroom
image_0795,street
image_0085,mountain
image_0008,mountain
image_1001,office
image_0436,office
image_0028,mountain
image_0503,tallbuilding
image_0455,office
image_0713,mountain
image_0738,suburb
image_0791,opencountry
image_0816,insidecity
image_0509,insidecity
image_0067,tallbuilding
image_0184,forest
image_0338,forest
image_0192,mountain
image_0363,opencountry
image_0865,bedroom
image_0373,street
image_0587,tallbuilding
image_0655,insidecity
image_0806,coast
image_0420,street
image_0650,mountain
image_0189,street
image_0882,kitchen
image_0259,coast
image_0962,mountain
image_0061,livingroom
image_0523,street
image_0549,tallbuilding
image_0027,bedroom
image_0492,livingroom
image_0174,street
image_0787,coast
image_0109,office
image_0460,forest
image_0941,bedroom
image_0805,highway
image_0306,opencountry
image_0030,street
image_0216,forest
image_0625,insidecity
image_0470,coast
image_0508,opencountry
image_0408,kitchen
image_0952,livingroom
image_0464,office
image_0699,mountain
image_1005,kitchen
image_0758,coast
image_0889,office
image_0207,kitchen
image_0959,mountain
image_0498,insidecity
image_0320,highway
image_0078,opencountry
image_0140,bedroom
image_0958,livingroom
image_0921,coast
image_0380,opencountry
image_0269,highway
image_0040,suburb
image_0156,tallbuilding
image_0640,street
image_0845,tallbuilding
image_0081,forest
image_0110,livingroom
image_0471,coast
image_0475,mountain
image_0494,livingroom
image_0050,kitchen
image_0673,suburb
image_0240,forest
image_0074,kitchen
image_0747,tallbuilding
image_0265,suburb
image_0263,livingroom
image_0264,bedroom
image_0722,kitchen
image_0227,bedroom
image_0102,tallbuilding
image_0401,kitchen
image_0092,office
image_0880,highway
image_0335,highway
image_0917,livingroom
image_0108,bedroom
image_0782,street
image_0311,livingroom
image_0182,coast
image_0251,suburb
image_0943,bedroom
image_0835,opencountry
image_0462,suburb
image_0659,opencountry
image_0606,insidecity
image_0841,livingroom
image_0271,office
image_0022,highway
image_0635,office
image_0213,livingroom
image_0287,opencountry
image_0598,opencountry
image_0376,kitchen
image_0458,office
image_0326,suburb
image_0772,insidecity
image_0984,mountain
image_0852,mountain
image_0756,insidecity
image_0491,opencountry
image_0745,office
image_0375,street
image_0556,coast
image_0317,highway
image_0037,coast
image_0145,forest
image_0445,livingroom
image_0664,forest
image_0627,bedroom
image_0529,tallbuilding
image_0856,kitchen
image_0663,livingroom
image_0484,opencountry
image_1004,insidecity
image_0759,suburb
image_0244,insidecity
image_0572,tallbuilding
image_0701,highway
image_0914,mountain
image_0274,highway
image_0533,mountain
image_0866,suburb
image_0858,mountain
image_0232,forest
image_0173,opencountry
image_0674,opencountry
image_0186,kitchen
image_0179,insidecity
image_0235,mountain
image_0590,street
image_0392,coast
image_0413,highway
image_0872,tallbuilding
image_0279,forest
image_0357,highway
image_1035,mountain
image_0374,street
image_0387,kitchen
image_0629,suburb
image_0354,opencountry
image_0558,street
image_0501,coast
image_0478,highway
image_0873,mountain
image_0382,bedroom
image_0474,office
image_0843,street
image_0480,suburb
image_0717,mountain
image_0802,tallbuilding
image_1039,tallbuilding
image_0975,insidecity
image_0169,kitchen
image_0290,highway
image_0163,mountain
image_0834,livingroom
image_0324,bedroom
image_0987,insidecity
image_0535,livingroom
image_0020,highway
image_0168,coast
image_0794,kitchen
image_0851,kitchen
image_0657,highway
image_0781,office
image_1031,coast
image_0012,mountain
image_0810,livingroom
image_0449,insidecity
image_0117,office
image_0135,livingroom
image_0234,street
image_0862,highway
image_0955,coast
image_0194,kitchen
image_0819,highway
image_0954,opencountry
image_0248,suburb
image_0691,kitchen
image_0973,office
image_0049,tallbuilding
image_0752,kitchen
image_0830,office
image_0417,forest
image_0348,street
image_0953,highway
image_0989,coast
image_0476,street
image_0018,kitchen
image_0489,suburb
image_0055,bedroom
image_0206,opencountry
image_0957,opencountry
image_0366,tallbuilding
image_0694,office
image_0485,street
image_0551,livingroom
image_0289,kitchen
image_0854,office
image_0098,office
image_0939,suburb
image_0268,mountain
image_0944,livingroom
image_0723,bedroom
image_0842,bedroom
image_0574,livingroom
image_0372,livingroom
image_0999,bedroom
image_0386,office
image_0935,opencountry
image_0047,insidecity
image_0532,bedroom
image_0328,bedroom
image_0228,suburb
image_0301,coast
image_0630,highway
image_0531,suburb
image_0569,street
image_0453,mountain
image_0930,suburb
image_0399,livingroom
image_0933,coast
image_0147,mountain
image_0779,opencountry
image_0622,insidecity
image_0755,livingroom
image_0688,opencountry
image_0651,tallbuilding
image_0058,street
image_0004,tallbuilding
image_0685,office
image_0129,forest
image_0038,forest
image_0450,forest
image_0418,livingroom
image_0524,office
image_0379,street
image_0454,suburb
image_0134,insidecity
image_0937,livingroom
image_0589,coast
image_0410,highway
image_0277,coast
image_0885,suburb
image_0371,street
image_0525,highway
image_0743,coast
image_0071,highway
image_0308,tallbuilding
image_0367,kitchen
image_0444,highway
image_0346,suburb
image_0473,mountain
image_0618,street
image_0764,suburb
image_0231,opencountry
image_0435,coast
image_0710,tallbuilding
image_0596,highway
image_0515,mountain
image_0113,bedroom
image_0732,insidecity
image_0980,kitchen
image_0793,mountain
image_0818,tallbuilding
image_0711,street
image_0096,highway
image_0800,tallbuilding
image_0504,highway
image_0177,opencountry
image_0152,mountain
image_0360,highway
image_0712,tallbuilding
image_0700,tallbuilding
image_0836,bedroom
image_0282,forest
image_0463,forest
image_0864,suburb
image_0539,highway
image_0059,kitchen
image_0915,forest
image_0785,office
image_0369,kitchen
image_0652,street
image_0719,coast
image_0554,highway
image_0573,insidecity
image_1024,tallbuilding
image_0951,mountain
image_0465,insidecity
image_0703,suburb
image_0820,mountain
image_0678,kitchen
image_1011,opencountry
image_0521,opencountry
image_0974,highway
image_0895,office
image_0164,coast
image_0986,suburb
image_0936,livingroom
image_0070,insidecity
image_0949,forest
image_0483,highway
image_0068,kitchen
image_0577,office
image_0202,livingroom
image_0600,kitchen
image_0881,office
image_0513,livingroom
image_0010,highway
image_0212,mountain
image_0786,livingroom
image_0016,highway
image_0136,tallbuilding
image_0402,forest
image_0196,livingroom
image_0292,forest
image_0294,tallbuilding
image_0237,forest
image_0118,street
image_0749,mountain
image_0708,opencountry
image_0611,bedroom
image_0011,livingroom
image_0620,street
image_0631,kitchen
image_0643,tallbuilding
image_0090,suburb
image_0077,coast
image_0031,forest
image_0592,forest
image_0837,forest
image_0537,office
image_0550,street
image_0409,suburb
image_0783,insidecity
image_0968,mountain
image_0522,street
image_0139,forest
image_0704,livingroom
image_0870,highway
image_0353,opencountry
image_0331,mountain
image_0682,kitchen
image_0742,suburb
image_0536,bedroom
image_0428,tallbuilding
image_0482,bedroom
image_1016,livingroom
image_0130,livingroom
image_0327,forest
image_0252,suburb
image_0180,tallbuilding
image_0477,mountain
image_0288,highway
image_1025,insidecity
image_0826,suburb
image_0432,coast
image_0714,forest
image_0706,opencountry
image_0566,street
image_0899,livingroom
image_0006,coast
image_0337,insidecity
image_0945,bedroom
image_0370,kitchen
image_0123,coast
image_0527,kitchen
image_0280,forest
image_0998,coast
image_0799,bedroom
image_0393,tallbuilding
image_0424,coast
image_0860,livingroom
image_0561,opencountry
image_0612,coast
image_0580,forest
image_0266,livingroom
image_0801,mountain
image_0709,highway
image_0398,insidecity
image_0545,bedroom
image_0924,insidecity
image_0871,bedroom
image_0766,highway
image_0236,highway
image_0226,opencountry
image_0343,tallbuilding
image_0579,tallbuilding
image_0426,street
image_1013,kitchen
image_0094,opencountry
image_0046,coast
image_0238,livingroom
image_0617,opencountry
image_0560,mountain
image_0127,street
image_0548,coast
image_0015,coast
image_0669,street
image_0023,insidecity
image_0609,mountain
image_0421,kitchen
image_0727,livingroom
image_0082,livingroom
image_0193,insidecity
image_0138,insidecity
image_0307,office
image_0493,bedroom
image_1006,livingroom
image_0559,kitchen
image_0514,tallbuilding
image_0053,mountain
image_0538,suburb
image_0971,livingroom
image_0716,street
image_0143,insidecity
image_0918,tallbuilding
image_0239,coast
image_0859,tallbuilding
image_0273,coast
image_1027,mountain
image_0972,office
image_0894,insidecity
image_0257,suburb
image_0304,street
image_0887,mountain
image_0996,livingroom
image_0948,livingroom
image_0907,forest
image_0403,suburb
image_0784,livingroom
image_0097,tallbuilding
image_0322,office
image_0788,bedroom
image_0069,bedroom
image_0621,insidecity
image_0267,mountain
image_0198,tallbuilding
image_0735,livingroom
image_0814,tallbuilding
image_0205,kitchen
image_0172,street
image_0570,mountain
image_0161,livingroom
image_0874,kitchen
image_0733,insidecity
image_0284,office
image_0247,mountain
image_0773,office
image_0920,mountain
image_0441,suburb
image_0149,forest
image_0803,insidecity
image_0405,mountain
image_0083,street
image_0034,highway
image_0850,highway
image_0009,street
image_0576,mountain
